start, end, name, style, place, country
"10.01.20","12.01.20","World Club Dome Winter Edition","Stil: House, Techno, Hardstyl ...","Ort: 40474 Düsseldorf","Land: de"
"18.01.20",NA,"Solution Germany","Stil: Hardstyle, Hands Up, Ho ...","Ort: 46047 Oberhausen","Land: de"
